""	TABLE 6.		Epstein-Fourier Coefficientsf for Hall Conductivity
Kp,     term,       maxvalue,  maxlatitude,    up-slope, down-slope
K0, Constant,      2.7583333,   70.9270833,    .5430208,  -.6710083
K0,     Cos1,      -.5603526,   -1.4479718,   -.3334788,   .2535236
K0,     Cos2,       .7095907,    -.7911263,    .2223202,  -.1569332
K0,     Cos3,       .0604564,    -.1704330,    .0203252,  -.0519584
K0,     Cos4,       .1942398,    1.0007805,   0.0388095,  -.1086571
K0,     Cos5,       .1655698,    -.0404724,   0.1027042,   .0169650
K0,     Cos6,       .0791731,    -.9711485,   -.0976908,   .0640061
K0,     Sin1,       .5283606,   -1.5744713,    .1672962,   .2117994
K0,     Sin2,      -.1088354,   -1.1907920,   -.0276489,  -.1326264
K0,     Sin3,      -.1276641,     .1657324,   -.0925705,   .1271353
K0,     Sin4,      -.2912483,     .4462761,   -.0285336,   .0286423
K0,     Sin5,      -.3695270,    -.6442632,    .0830744,   .1859250
K0,     Sin6,      -.0735649,    -.0981719,   -.0663541,  -.0236317
K1, Constant,      4.8360417,   69.6250000,   1.0627021,  -.9502937
K1,     Cos1,       .8434215,   -1.8818600,    .2952033,  -.2177987
K1,     Cos2,       .4354745,    -.2942536,    .0748335,   .0016742
K1,     Cos3,      -.2749059,    -.4034963,   -.1029672,   .3031466
K1,     Cos4,      -.1430014,    -.0215684,   -.1008671,   .2112045
K1,     Cos5,       .0553424,    -.1111628,   -.0477245,  -.0793805
K1,     Cos6,       .1852824,    -.1042102,   0.0795808,  -.0918663
K1,     Sin1,      1.9244905,   -1.3952794,    .6840835,  -.1842365
K1,     Sin2,      -.4590670,   -1.3282438,    .1109565,   .1427165
K1,     Sin3,      -.0486048,    -.0968973,   0.0335025,   .0584180
K1,     Sin4,       .0539422,     .0991725,   0.0764872,  -.1026860
K1,     Sin5,       .0655059,    -.1104204,   0.0118614,  -.0378415
K1,     Sin6,       .0917029,     .0272201,    .1042123,  -.0297088
K2, Constant,      7.2189583,   69.2187500,   1.5508062, -1.3937083
K2,     Cos1,      2.2869975,   -2.3106173,    .8729207,  -.3873089
K2,     Cos2,       .7658015,    -.6651852,   0.3313611,  -.0324994
K2,     Cos3,       .0858780,    -.3403501,   0.2991748,   .2908475
K2,     Cos4,      -.0504954,    -.3165834,    .6377540,   .1813414
K2,     Cos5,      -.0715295,    -.5789755,    .3082071,   .0516969
K2,     Cos6,       .0325820,     .0736875,   -.0289491,   .0273734
K2,     Sin1,      2.8989121,   -1.6590557,    .9542872,  -.7229911
K2,     Sin2,      -.5101666,   -1.0118879,   0.1121867,  -.1986246
K2,     Sin3,       .5489824,    -.2062100,    .0928020,  -.1931953
K2,     Sin4,       .6240107,    -.1703270,    .2855607,  -.4165769
K2,     Sin5,       .6830349,    -.0976242,    .5309347,  -.1005444
K2,     Sin6,       .1596690,     .3027230,    .2686735,  -.1478393
K3, Constant,     10.0956250,   68.5687500,   2.3899479, -1.8148187
K3,     Cos1,      4.6945905,   -2.5171675,   2.1987400,  -.5808578
K3,     Cos2,      -.1368916,   -1.1420728,    .8623940,   .3096004
K3,     Cos3,      -.1602042,    -.2289998,    .6900643,   .3766520
K3,     Cos4,       .5540120,    -.1730619,    .5801013,  -.0892347
K3,     Cos5,       .9169015,    -.6109952,    .3801142,  -.1280161
K3,     Cos6,       .1055958,     .5079539,    .1477341,  -.1104187
K3,     Sin1,      3.6216916,   -2.0819841,    .3043800,  -.9819689
K3,     Sin2,      -.6399891,   -1.0413881,    .6026834,  -.1678922
K3,     Sin3,      1.0016951,     .5261618,    .5150961,  -.3521850
K3,     Sin4,       .5015487,    -.2260380,    .2940746,  -.0533188
K3,     Sin5,      -.0548462,     .5490804,    .0626488,  -.0024139
K3,     Sin6,       .2895085,     .1490361,   0.1097321,  -.0880467
K4, Constant,     10.5539583,   67.0520833,   2.4154562, -1.7039771
K4,     Cos1,      5.0368212,   -1.4380474,   1.8651015,  -.7921974
K4,     Cos2,     -1.4508298,    -.0999283,   -.1286010,   .1827648
K4,     Cos3,      -.3386978,    -.2256838,    .2897210,   .1455383
K4,     Cos4,       .7145481,     .7854492,    .4342100,  -.1825706
K4,     Cos5,      1.0521712,    -.6754360,    .1643043,  -.1776439
K4,     Cos6,       .3106666,     .5504117,   -.0377262,   .0351027
K4,     Sin1,      3.7795599,    -.4695603,    .8035522, -1.0630104
K4,     Sin2,     -2.2036197,   -1.4263343,   -.0061968,   .0007466
K4,     Sin3,      -.4038805,    1.0786975,   -.0381278,  -.1379479
K4,     Sin4,       .1877177,    -.3410563,   -.1786102,  -.0955437
K4,     Sin5,       .3821918,     .1441355,   -.0286417,  -.2698556
K4,     Sin6,       .7227088,     .1732274,    .3489599,  -.2086555
K5, Constant,      9.7808333,   67.5479167,   1.2953417, -1.2377000
K5,     Cos1,      4.0828747,    -.8252280,    .3205802,  -.4608375
K5,     Cos2,     -3.0447562,     .9037982,   -.7337893,   .3273742
K5,     Cos3,     -1.3303617,     .5731158,   -.2707783,   .1119489
K5,     Cos4,      -.2996340,     .2322553,    .0924913,  -.0338068
K5,     Cos5,       .5788535,    -.2093377,    .0271088,  -.0558071
K5,     Cos6,       .2709488,     .5551483,   -.0459448,   .0901108
K5,     Sin1,      2.5820114,   -1.1411468,    .3528058,  -.6403901
K5,     Sin2,     -2.1114761,     .0118324,   -.4490833,   .1414125
K5,     Sin3,      -.4143120,     .2220543,   -.1697168,   .0110541
K5,     Sin4,       .2391930,    -.3030228,    .2391388,  -.0583405
K5,     Sin5,       .5039429,     .0011819,   0.1940858,  -.1483512
K5,     Sin6,      -.1333369,    -.2611443,   -.0800368,  -.0755900
K6, Constant,     13.9289583,   65.0187500,   2.0588917, -2.1786729
K6,     Cos1,     10.1588173,   -2.4207529,   1.4649824,  -.9497801
K6,     Cos2,     -2.0789625,   -1.5525052,   -.6865596,   .5574923
K6,     Cos3,      -.4669589,     .3268133,   -.0568233,  -.3584154
K6,     Cos4,       .9080207,    -.2252280,    .1397604,  -.0551213
K6,     Cos5,       .4411382,    -.5814691,   -.2259140,   .2615956
K6,     Cos6,       .0918056,     .6422800,   -.1596379,   .0511246
K6,     Sin1,      4.0465757,    -.8253996,    .9358234,  -.6483012
K6,     Sin2,       .1479905,    -.2498451,    .1395212,  -.8750918
K6,     Sin3,       .4186253,    1.4356406,   -.1696164,  -.5047729
K6,     Sin4,      -.1309743,   -1.5516421,   -.0525527,   .2756927
K6,     Sin5,       .1295592,     .9542121,    .0239853,  -.4123370
K6,     Sin6,       .3858664,    -.4469092,   0.1524355,  -.2234162
 
