TABLE 7. Epstein-Fourier Coefficients for Pedersen Conductivity
Kp,     term,      maxvalue,  maxlatitude,   up-slope,    down-slope
K0, Constant,     1.9752083,   71.7708333,   .5717104,    -.2543417
K0,     Cos1,      .1130936,   -2.2547427,   .2175173,    -.0453745
K0,     Cos2,      .3619121,   -1.1885288,   .1759850,    -.0710386
K0,     Cos3,      .1148692,     .8967821,  -.0320229,    -.0265617
K0,     Cos4,      .1334866,     .0952250,  -.0744442,    -.0462907
K0,     Cos5,      .0728649,    -.4799590,   .0146303,    -.0023734
K0,     Cos6,      .0020049,     .0552412,   .0828215,     .0190039
K0,     Sin1,      .4995522,   -1.6743230,   .1537368,    -.1215096
K0,     Sin2,     -.1902356,    -.1058221,   .0716203,     .0387746
K0,     Sin3,     -.0952397,     .0437346,  -.0137312,     .0308323
K0,     Sin4,     -.1536157,    -.4250950,  -.0814600,    -.0029734
K0,     Sin5,     -.1402175,     .5415827,  -.1238568,    -.0177773
K0,     Sin6,     -.0439370,     .1042100,  -.1717793,    -.0314532
K1, Constant,     3.1712500,   70.7500000,   .7165729,    -.4452604
K1,     Cos1,     1.0460200,   -2.9196623,   .4346830,    -.1815297
K1,     Cos2,      .1379087,    -.7150610,   .0467664,     .0052956
K1,     Cos3,     -.0299421,     .3733959,  -.0917933,     .0789029
K1,     Cos4,     -.0749650,    -.2896231,   .0098491,     .0802530
K1,     Cos5,     -.0013665,    -.2592726,   .0242828,     .0635638
K1,     Cos6,      .1106588,     .1088801,   .0139084,    -.0430246
K1,     Sin1,      .8085247,   -1.8355858,   .2766084,    -.0593998
K1,     Sin2,     -.4091995,    -.5711044,   .0446986,     .1262351
K1,     Sin3,      .1050777,    -.1693432,   .1006073,     .0165674
K1,     Sin4,     -.0233221,    -.3406539,   .0850947,     .0306373
K1,     Sin5,      .0288914,     .1691063,   .0326972,    -.0242391
K1,     Sin6,      .0627288,    -.0000000,   .0436159,    -.0517958
K2, Constant,     4.3137500,   70.1458333,   .8209917,    -.6039646
K2,     Cos1,     1.9275469,   -3.2625586,   .4892092,    -.2107561
K2,     Cos2,      .0964910,    -.2705674,  -.0435020,     .0159070
K2,     Cos3,      .1477087,     .0958508,   .1088144,     .1274871
K2,     Cos4,     -.1099220,    -.6248849,   .2465228,     .0935024
K2,     Cos5,     -.0332367,    -.1556599,   .1520316,     .0343090
K2,     Cos6,      .0956958,    -.0000002,   .0953473,    -.0575092
K2,     Sin1,     1.0182152,   -1.7175094,   .2547495,    -.2152703
K2,     Sin2,     -.2810904,    -.7246931,   .0788403,     .0275124
K2,     Sin3,      .3487381,    -.4877543,   .0806739,    -.1309935
K2,     Sin4,      .1427723,    -.2508208,   .0395550,     .0098114
K2,     Sin5,      .2053887,     .0474664,   .1410467,     .0260413
K2,     Sin6,      .0478526,    -.0450997,   .1486745,     .0083321
K3, Constant,     5.3681250,   69.6000000,  1.0638625,    -.7238229
K3,     Cos1,     2.8279962,   -3.7821781,   .8834478,    -.1338280
K3,     Cos2,     -.3187805,    -.4009589,   .2099942,     .1314392
K3,     Cos3,      .1640319,    -.1429645,   .2841189,     .0694481
K3,     Cos4,      .1400917,    -.4882003,   .1719627,    -.0795906
K3,     Cos5,      .2006710,     .1241429,   .0868618,    -.1167260
K3,     Cos6,     -.0046307,    -.2483964,   .0621159,     .1370907
K3,     Sin1,      .9114709,   -1.9005839,   .2932267,    -.0445403
K3,     Sin2,     -.3668006,    -.4507286,   .2127840,     .0836998
K3,     Sin3,      .5416129,    -.0321750,   .1145039,    -.2242315
K3,     Sin4,      .1796916,     .2932245,   .0013498,    -.0529602
K3,     Sin5,      .0442166,     .2336574,   .0048137,    -.0164184
K3,     Sin6,      .0762248,    -.0668093,  -.0120836,     .0250792
K4, Constant,     5.5833333,   68.7708333,   .8618917,    -.6730812
K4,     Cos1,     2.9881179,   -3.8715167,   .5861567,    -.1338858
K4,     Cos2,     -.6395703,     .4692158,  -.1440779,     .1079669
K4,     Cos3,      .0407904,     .4348478,  -.0494269,    -.0464855
K4,     Cos4,      .2289197,    -.4089190,   .0321022,    -.0204007
K4,     Cos5,      .1514792,     .5260999,  -.0304234,    -.1015419
K4,     Cos6,      .0188512,    -.2807399,  -.0948005,     .0474771
K4,     Sin1,     1.0235213,   -1.5562133,   .2829520,    -.1686421
K4,     Sin2,    -1.0883883,     .2823293,  -.0371388,     .1360288
K4,     Sin3,      .0821190,    -.5886884,  -.0303181,    -.0059638
K4,     Sin4,      .1444900,     .4746813,  -.1167050,     .0097083
K4,     Sin5,      .1979488,     .2069094,  -.0098709,    -.1002859
K4,     Sin6,      .3237463,    -.2581899,   .0579316,    -.0459037
K5, Constant,     5.7097917,   67.9583333,   .6400104,    -.5891208
K5,     Cos1,     2.7157215,   -2.1349113,   .2869028,    -.1882091
K5,     Cos2,    -1.5537595,     .4418344,  -.2290677,     .1820844
K5,     Cos3,     -.5065092,    -.1738927,  -.0529559,     .0802309
K5,     Cos4,     -.1512489,    -.3809010,   .0908214,     .0307426
K5,     Cos5,      .2672217,    -.1577935,   .0854744,    -.0821933
K5,     Cos6,      .0343473,    -.3491907,   .0262790,     .0756556
K5,     Sin1,      .8486314,    -.8394362,   .1559990,    -.1708149
K5,     Sin2,     -.4712352,    -.1761762,  -.1165499,     .0839000
K5,     Sin3,      .0009869,     .1165620,  -.0363228,    -.0468929
K5,     Sin4,      .1603752,    -.4240373,   .1485710,     .0053801
K5,     Sin5,      .0917441,    -.3613390,   .0929087,     .0116085
