# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-1.2
# Data type:  Weimer_05  ionosphere
# Run name:   N/A  Inputs: Vx:  350.00 By:   0.00 Bz:  -4.00 N:   2.00 Tilt:  25.00
# Missing data:          NaN
# Date, time:            0           0           0  **:59:00
# Output data: field with 122x181=22082 elements
# LAT         MLT         R           PHI       
# deg         hours       R_E         kV        
  9.0000E+01  1.2000E+01  1.0170E+00 -1.6180E+01
  8.9500E+01  1.2000E+01  1.0170E+00 -1.6236E+01
  8.9000E+01  1.2000E+01  1.0170E+00 -1.6196E+01
  8.8500E+01  1.2000E+01  1.0170E+00 -1.6069E+01
  8.8000E+01  1.2000E+01  1.0170E+00 -1.5872E+01
  8.7500E+01  1.2000E+01  1.0170E+00 -1.5619E+01
  8.7000E+01  1.2000E+01  1.0170E+00 -1.5328E+01
  8.6500E+01  1.2000E+01  1.0170E+00 -1.5014E+01
  8.6000E+01  1.2000E+01  1.0170E+00 -1.4689E+01
  8.5500E+01  1.2000E+01  1.0170E+00 -1.4364E+01
  8.5000E+01  1.2000E+01  1.0170E+00 -1.4042E+01
  8.4500E+01  1.2000E+01  1.0170E+00 -1.3727E+01
  8.4000E+01  1.2000E+01  1.0170E+00 -1.3416E+01
  8.3500E+01  1.2000E+01  1.0170E+00 -1.3108E+01
  8.3000E+01  1.2000E+01  1.0170E+00 -1.2799E+01
  8.2500E+01  1.2000E+01  1.0170E+00 -1.2483E+01
  8.2000E+01  1.2000E+01  1.0170E+00 -1.2160E+01
  8.1500E+01  1.2000E+01  1.0170E+00 -1.1826E+01
  8.1000E+01  1.2000E+01  1.0170E+00 -1.1483E+01
  8.0500E+01  1.2000E+01  1.0170E+00 -1.1134E+01
  8.0000E+01  1.2000E+01  1.0170E+00 -1.0781E+01
  7.9500E+01  1.2000E+01  1.0170E+00 -1.0429E+01
  7.9000E+01  1.2000E+01  1.0170E+00 -1.0083E+01
  7.8500E+01  1.2000E+01  1.0170E+00 -9.7446E+00
  7.8000E+01  1.2000E+01  1.0170E+00 -9.4159E+00
  7.7500E+01  1.2000E+01  1.0170E+00 -9.0956E+00
  7.7000E+01  1.2000E+01  1.0170E+00 -8.7803E+00
  7.6500E+01  1.2000E+01  1.0170E+00 -8.4641E+00
  7.6000E+01  1.2000E+01  1.0170E+00 -8.1394E+00
  7.5500E+01  1.2000E+01  1.0170E+00 -7.7977E+00
  7.5000E+01  1.2000E+01  1.0170E+00 -7.4305E+00
  7.4500E+01  1.2000E+01  1.0170E+00 -7.0307E+00
  7.4000E+01  1.2000E+01  1.0170E+00 -6.5932E+00
  7.3500E+01  1.2000E+01  1.0170E+00 -6.1165E+00
  7.3000E+01  1.2000E+01  1.0170E+00 -5.6026E+00
  7.2500E+01  1.2000E+01  1.0170E+00 -5.0573E+00
  7.2000E+01  1.2000E+01  1.0170E+00 -4.4905E+00
  7.1500E+01  1.2000E+01  1.0170E+00 -3.9141E+00
  7.1000E+01  1.2000E+01  1.0170E+00 -3.3435E+00
  7.0500E+01  1.2000E+01  1.0170E+00 -2.7927E+00
  7.0000E+01  1.2000E+01  1.0170E+00 -2.2768E+00
  6.9500E+01  1.2000E+01  1.0170E+00 -1.8070E+00
  6.9000E+01  1.2000E+01  1.0170E+00 -1.3922E+00
  6.8500E+01  1.2000E+01  1.0170E+00 -1.0363E+00
  6.8000E+01  1.2000E+01  1.0170E+00 -7.3855E-01
  6.7500E+01  1.2000E+01  1.0170E+00 -4.9383E-01
  6.7000E+01  1.2000E+01  1.0170E+00 -2.9194E-01
  6.6500E+01  1.2000E+01  1.0170E+00 -1.2023E-01
  6.6000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.5500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
  6.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.5500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.6000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.6500E+01  1.2000E+01  1.0170E+00  1.0945E-01
 -6.7000E+01  1.2000E+01  1.0170E+00  2.2003E-01
 -6.7500E+01  1.2000E+01  1.0170E+00  2.5286E-01
 -6.8000E+01  1.2000E+01  1.0170E+00  1.7188E-01
 -6.8500E+01  1.2000E+01  1.0170E+00 -5.0695E-02
 -6.9000E+01  1.2000E+01  1.0170E+00 -4.2763E-01
 -6.9500E+01  1.2000E+01  1.0170E+00 -9.5694E-01
 -7.0000E+01  1.2000E+01  1.0170E+00 -1.6237E+00
 -7.0500E+01  1.2000E+01  1.0170E+00 -2.3958E+00
 -7.1000E+01  1.2000E+01  1.0170E+00 -3.2363E+00
 -7.1500E+01  1.2000E+01  1.0170E+00 -4.0961E+00
 -7.2000E+01  1.2000E+01  1.0170E+00 -4.9301E+00
 -7.2500E+01  1.2000E+01  1.0170E+00 -5.6914E+00
 -7.3000E+01  1.2000E+01  1.0170E+00 -6.3444E+00
 -7.3500E+01  1.2000E+01  1.0170E+00 -6.8619E+00
 -7.4000E+01  1.2000E+01  1.0170E+00 -7.2308E+00
 -7.4500E+01  1.2000E+01  1.0170E+00 -7.4521E+00
 -7.5000E+01  1.2000E+01  1.0170E+00 -7.5389E+00
 -7.5500E+01  1.2000E+01  1.0170E+00 -7.5166E+00
 -7.6000E+01  1.2000E+01  1.0170E+00 -7.4169E+00
 -7.6500E+01  1.2000E+01  1.0170E+00 -7.2760E+00
 -7.7000E+01  1.2000E+01  1.0170E+00 -7.1288E+00
 -7.7500E+01  1.2000E+01  1.0170E+00 -7.0054E+00
 -7.8000E+01  1.2000E+01  1.0170E+00 -6.9276E+00
 -7.8500E+01  1.2000E+01  1.0170E+00 -6.9061E+00
 -7.9000E+01  1.2000E+01  1.0170E+00 -6.9400E+00
 -7.9500E+01  1.2000E+01  1.0170E+00 -7.0173E+00
 -8.0000E+01  1.2000E+01  1.0170E+00 -7.1148E+00
 -8.0500E+01  1.2000E+01  1.0170E+00 -7.2056E+00
 -8.1000E+01  1.2000E+01  1.0170E+00 -7.2559E+00
 -8.1500E+01  1.2000E+01  1.0170E+00 -7.2369E+00
 -8.2000E+01  1.2000E+01  1.0170E+00 -7.1214E+00
 -8.2500E+01  1.2000E+01  1.0170E+00 -6.8932E+00
 -8.3000E+01  1.2000E+01  1.0170E+00 -6.5457E+00
 -8.3500E+01  1.2000E+01  1.0170E+00 -6.0837E+00
 -8.4000E+01  1.2000E+01  1.0170E+00 -5.5253E+00
 -8.4500E+01  1.2000E+01  1.0170E+00 -4.8956E+00
 -8.5000E+01  1.2000E+01  1.0170E+00 -4.2296E+00
 -8.5500E+01  1.2000E+01  1.0170E+00 -3.5625E+00
 -8.6000E+01  1.2000E+01  1.0170E+00 -2.9307E+00
 -8.6500E+01  1.2000E+01  1.0170E+00 -2.3637E+00
 -8.7000E+01  1.2000E+01  1.0170E+00 -1.8830E+00
 -8.7500E+01  1.2000E+01  1.0170E+00 -1.4986E+00
 -8.8000E+01  1.2000E+01  1.0170E+00 -1.2072E+00
 -8.8500E+01  1.2000E+01  1.0170E+00 -9.9335E-01
 -8.9000E+01  1.2000E+01  1.0170E+00 -8.3049E-01
 -8.9500E+01  1.2000E+01  1.0170E+00 -6.8292E-01
 -9.0000E+01  1.2000E+01  1.0170E+00 -5.1197E-01
  9.0000E+01  1.2133E+01  1.0170E+00 -1.6180E+01
  8.9500E+01  1.2133E+01  1.0170E+00 -1.6278E+01
  8.9000E+01  1.2133E+01  1.0170E+00 -1.6284E+01
  8.8500E+01  1.2133E+01  1.0170E+00 -1.6208E+01
  8.8000E+01  1.2133E+01  1.0170E+00 -1.6062E+01
  8.7500E+01  1.2133E+01  1.0170E+00 -1.5864E+01
  8.7000E+01  1.2133E+01  1.0170E+00 -1.5629E+01
  8.6500E+01  1.2133E+01  1.0170E+00 -1.5372E+01
  8.6000E+01  1.2133E+01  1.0170E+00 -1.5104E+01
  8.5500E+01  1.2133E+01  1.0170E+00 -1.4835E+01
  8.5000E+01  1.2133E+01  1.0170E+00 -1.4570E+01
  8.4500E+01  1.2133E+01  1.0170E+00 -1.4310E+01
  8.4000E+01  1.2133E+01  1.0170E+00 -1.4055E+01
  8.3500E+01  1.2133E+01  1.0170E+00 -1.3801E+01
  8.3000E+01  1.2133E+01  1.0170E+00 -1.3545E+01
  8.2500E+01  1.2133E+01  1.0170E+00 -1.3282E+01
  8.2000E+01  1.2133E+01  1.0170E+00 -1.3009E+01
  8.1500E+01  1.2133E+01  1.0170E+00 -1.2724E+01
  8.1000E+01  1.2133E+01  1.0170E+00 -1.2427E+01
  8.0500E+01  1.2133E+01  1.0170E+00 -1.2119E+01
  8.0000E+01  1.2133E+01  1.0170E+00 -1.1803E+01
  7.9500E+01  1.2133E+01  1.0170E+00 -1.1481E+01
  7.9000E+01  1.2133E+01  1.0170E+00 -1.1157E+01
  7.8500E+01  1.2133E+01  1.0170E+00 -1.0832E+01
  7.8000E+01  1.2133E+01  1.0170E+00 -1.0506E+01
  7.7500E+01  1.2133E+01  1.0170E+00 -1.0177E+01
  7.7000E+01  1.2133E+01  1.0170E+00 -9.8426E+00
  7.6500E+01  1.2133E+01  1.0170E+00 -9.4954E+00
  7.6000E+01  1.2133E+01  1.0170E+00 -9.1285E+00
  7.5500E+01  1.2133E+01  1.0170E+00 -8.7343E+00
  7.5000E+01  1.2133E+01  1.0170E+00 -8.3054E+00
  7.4500E+01  1.2133E+01  1.0170E+00 -7.8363E+00
  7.4000E+01  1.2133E+01  1.0170E+00 -7.3239E+00
  7.3500E+01  1.2133E+01  1.0170E+00 -6.7685E+00
  7.3000E+01  1.2133E+01  1.0170E+00 -6.1744E+00
  7.2500E+01  1.2133E+01  1.0170E+00 -5.5494E+00
  7.2000E+01  1.2133E+01  1.0170E+00 -4.9057E+00
  7.1500E+01  1.2133E+01  1.0170E+00 -4.2568E+00
  7.1000E+01  1.2133E+01  1.0170E+00 -3.6196E+00
  7.0500E+01  1.2133E+01  1.0170E+00 -3.0092E+00
  7.0000E+01  1.2133E+01  1.0170E+00 -2.4417E+00
  6.9500E+01  1.2133E+01  1.0170E+00 -1.9283E+00
  6.9000E+01  1.2133E+01  1.0170E+00 -1.4782E+00
  6.8500E+01  1.2133E+01  1.0170E+00 -1.0947E+00
  6.8000E+01  1.2133E+01  1.0170E+00 -7.7629E-01
  6.7500E+01  1.2133E+01  1.0170E+00 -5.1673E-01
  6.7000E+01  1.2133E+01  1.0170E+00 -3.0451E-01
  6.6500E+01  1.2133E+01  1.0170E+00 -1.2548E-01
  6.6000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.5500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.5000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.4500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.4000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.3500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.3000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.2500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.2000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.1500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
  6.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.0000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.0500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.1000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.1500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.2000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.2500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.3000E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.3500E+01  1.2133E+01  1.0170E+00  0.0000E+00
 -6.4000E+01  1.2133E+01  1.0170E+00  0.0000E+00
