# Coefs. for calculating Hall and Pedersen conductance from AMPERE FAC maps, taken from Table 1 in https://doi.org/10.1029/2020SW002677
mlt     dp0     dp1     up0     up1     dh0     dh1     uh0     uh1
0	4.61	-6.54	5.03  	8.29   	9.06   	-8.36	12.56	21.47
1	4.81    -6.08	5.19   	8.21   	9.32   	-9.75	13.08	23.31
2	5.01  	-5.42	5.28    8.03   	9.47   	-10.97	13.29	24.57
3	5.22  	-4.61	5.30    7.77   	9.50   	-11.94	13.20	25.16
4	5.41  	-3.71	5.24    7.44   	9.40   	-12.59	12.80	25.05
5	5.57  	-2.77	5.12    7.06   	9.19   	-12.89	12.11	24.23
6	5.70  	-1.86	4.93    6.67   	8.88   	-12.80	11.20	22.78
7	5.78  	-1.04	4.69    6.29   	8.49   	-12.34	10.11	20.78
8	5.80  	-0.37	4.42    5.94   	8.04   	-11.53	8.93   	18.37
9	5.77  	0.11   	4.13    5.65  	7.57   	-10.44	7.74   	15.73
10	5.69 	0.36   	3.85    5.44  	7.11   	-9.13	6.60 	13.01
11	5.56 	0.37   	3.59    5.32  	6.69   	-7.70	5.62 	10.42
12	5.39 	0.14   	3.37    5.31  	6.34   	-6.24	4.84 	8.13
13	5.19 	-0.32	3.21    5.39   	6.08   	-4.85	4.32 	6.29
14	4.99 	-0.98	3.12    5.57   	5.93   	-3.63	4.11 	5.03
15	4.78 	-1.79	3.10    5.83   	5.90   	-2.66	4.20 	4.44
16	4.59 	-2.69	3.16    6.16   	6.00   	-2.01	4.60 	4.55
17	4.43 	-3.63	3.28    6.54   	6.21   	-1.71	5.29 	5.37
18	4.30 	-4.54	3.47    6.93   	6.52   	-1.80	6.20 	6.82
19	4.22 	-5.36	3.71    7.31   	6.91   	-2.26	7.29 	8.82
20	4.20 	-6.03	3.98    7.66   	7.36   	-3.07	8.47 	11.23
21	4.23 	-6.51	4.27    7.95   	7.83   	-4.16	9.66 	13.87
22	4.31 	-6.76	4.55    8.16   	8.29   	-5.47	10.80	16.59
23	4.44 	-6.77	4.81    8.28   	8.71   	-6.90	11.78	19.18
