Kp	term	A	B	C	D
K0	Const	3.2402978	18.221647	2.8442195	1.833681
K0	Cos1	1.3291109	6.0779378	0.2931214	-0.3873319
K0	Cos2	0.4209809	-1.3235271	-0.5383766	0.009455
K0	Cos3	0.4779546	0.2553541	0.2728634	0.0548413
K0	Cos4	-0.3673774	0.0980007	0.2950094	-0.011393
K0	Cos5	0.0557991	0.0075817	-0.0456968	-0.0434681
K0	Cos6	-0.0556684	-0.0050137	0.0073026	0.0562728
K0	Sin1	-0.1914775	1.3812608	0.813363	0.1214365
K0	Sin2	0.08027	-0.0211661	-0.3734801	-0.2901524
K0	Sin3	-0.4206442	-0.1240047	-0.0874247	0.2791531
K0	Sin4	-0.0354484	0.341596	-0.0607254	-0.176418
K0	Sin5	-0.201748	-0.1074103	0.1679693	0.0400522
K0	Sin6	-0.0298214	0.2863931	-0.0456554	-0.1214534
K1	Const	6.3011691	19.88241	2.9663179	1.8560835
K1	Cos1	3.2522103	6.5577617	0.8165399	-0.3102606
K1	Cos2	-0.2114976	-1.5086115	-0.3559603	0.0363061
K1	Cos3	0.3216365	0.545794	0.3101074	0.0574751
K1	Cos4	-0.32369	-0.0926016	0.0969373	-0.0304515
K1	Cos5	0.1705425	-0.0363445	-0.0530104	0.0657831
K1	Cos6	0.091987	-0.080163	-0.0685254	0.0046886
K1	Sin1	-0.6934043	1.615614	0.7957589	-0.0660346
K1	Sin2	-0.1779372	-0.0385058	-0.4427029	-0.3614867
K1	Sin3	-0.3675894	-0.184416	-0.1514768	0.1820734
K1	Sin4	-0.0095432	0.2427321	0.0079244	-0.1546944
K1	Sin5	-0.2508516	-0.1503851	0.1311359	0.0449006
K1	Sin6	-0.0501051	0.1889811	-0.0278058	-0.0735363
K2	Const	9.5988037	21.479304	3.1926672	1.9755171
K2	Cos1	5.1430543	6.607545	1.2270596	-0.3518031
K2	Cos2	-1.7371661	-1.2566572	-0.005454	-0.0143734
K2	Cos3	-0.2230598	0.3451542	0.1229414	-0.0291659
K2	Cos4	0.0422935	-0.05647	0.0573293	-0.0337693
K2	Cos5	-0.0122696	-0.1576626	-0.0562889	0.0388444
K2	Cos6	0.008051	0.2253359	0.095604	0.0575712
K2	Sin1	-0.6726416	1.2164832	0.4361579	-0.1477385
K2	Sin2	-0.0727642	-0.2300587	-0.5028849	-0.239016
K2	Sin3	0.1200389	-0.3520732	-0.2906078	0.1048181
K2	Sin4	0.0465696	0.2226716	0.051408	-0.1010366
K2	Sin5	-0.4557674	-0.0385575	0.0760109	-0.0255308
K2	Sin6	-0.1550104	0.13106	0.0308203	-0.0628866
K3	Const	12.246801	23.511121	3.7091436	2.1764069
K3	Cos1	7.0481969	6.1681312	1.3842879	-0.4713056
K3	Cos2	-3.0928509	-0.7124293	0.1899543	-0.0948302
K3	Cos3	-1.2935699	0.2640897	0.0647574	-0.1372124
K3	Cos4	0.0884275	-0.2602568	-0.0045988	-0.0509513
K3	Cos5	-0.0274394	0.02115	0.0295777	0.0340843
K3	Cos6	-0.272369	0.226095	0.1237925	-0.0056936
K3	Sin1	-1.0729358	1.043448	0.4866616	-0.2832799
K3	Sin2	0.1829594	-0.3088645	-0.4396647	-0.0853116
K3	Sin3	0.6604424	-0.6493409	-0.3368631	0.0876408
K3	Sin4	0.1005881	0.3886247	0.2038886	0.07081
K3	Sin5	-0.3857214	-0.0406112	0.0022551	-0.0345108
K3	Sin6	-0.3237388	-0.0072146	0.0360084	-0.0328183
K4	Const	17.185531	27.197799	5.1669995	2.5417068
K4	Cos1	11.323595	5.3379375	1.1495666	-0.6063337
K4	Cos2	-1.2885997	-1.1071272	0.0676676	0.0136708
K4	Cos3	-0.8853908	0.3888829	-0.13391	-0.0624044
K4	Cos4	1.2169522	-0.4494379	-0.0978956	0.0024086
K4	Cos5	0.9936972	-0.234643	-0.2247035	0.0623906
K4	Cos6	0.3355213	0.3541175	0.0702655	0.0125311
K4	Sin1	-1.8969096	-0.7900455	0.0107553	-0.307588
K4	Sin2	-1.5002061	0.5940236	0.2318213	0.0774584
K4	Sin3	-0.4722835	-0.7037725	-0.1692764	-0.1040405
K4	Sin4	-1.874663	0.4504852	0.5258857	-0.040223
K4	Sin5	-0.8323257	0.2860252	0.1850265	-0.098917
K4	Sin6	0.1062067	-0.4846608	-0.2689677	0.0636382
K5	Const	33.43544	30.688625	5.9308809	4.1004123
K5	Cos1	24.269584	3.9275374	0.3238901	-0.4237273
K5	Cos2	-4.0539849	-2.4440639	-0.9602533	-0.1556447
K5	Cos3	-5.0305214	1.8123949	0.2338884	0.2188714
K5	Cos4	-1.7500538	-0.2253542	0.4168486	-0.0093918
K5	Cos5	-0.8196342	0.404406	-0.1198387	-0.0095218
K5	Cos6	-0.7520601	-1.2894243	-0.5288058	0.089657
K5	Sin1	-5.9059449	-2.6264976	0.8511741	-0.6852183
K5	Sin2	-0.1670781	3.0068989	0.9358651	-0.0488459
K5	Sin3	2.8623939	-2.5030701	-1.2186771	0.3298003
K5	Sin4	0.9153974	0.7056867	0.1745191	0.1314771
K5	Sin5	1.5992821	-0.1550183	-0.3299605	-0.1826762
K5	Sin6	0.9162504	-0.7857376	-0.2456667	0.2985601
