Kp	term	A	B	C	D
K0	Const	7.5088404	18.62293	3.2261931	1.8188745
K0	Cos1	2.6287603	5.7324085	0.0827922	-0.3112791
K0	Cos2	-0.045022	-1.3868862	-0.6557206	0.0162807
K0	Cos3	0.6539572	0.5080752	0.2457516	-0.0193889
K0	Cos4	-0.9457612	-0.204601	0.1278021	-0.1452522
K0	Cos5	0.2284535	0.2564687	0.0392661	-0.02344
K0	Cos6	0.085727	-0.2413532	-0.0626898	0.0795029
K0	Sin1	1.8046452	0.8410476	0.4596556	0.262544
K0	Sin2	0.5823422	-0.2971944	-0.2923336	-0.1834317
K0	Sin3	0.1393766	-0.3119841	-0.2334998	0.2266602
K0	Sin4	-0.0723001	0.5859838	0.2180461	-0.1648118
K0	Sin5	-0.0662265	-0.5321336	-0.2216241	0.0763152
K0	Sin6	0.0432793	0.4358112	0.1371674	-0.0443683
K1	Const	12.476319	20.246945	3.6281879	2.3277229
K1	Cos1	3.2499986	6.327264	0.6698318	-0.4858124
K1	Cos2	-1.1075362	-1.4599147	-0.3852461	0.1280848
K1	Cos3	0.6225175	0.3086182	0.1095518	0.0089136
K1	Cos4	-0.3542281	-0.115367	0.0526728	0.0276094
K1	Cos5	0.2671344	0.1107047	0.0057801	0.0238859
K1	Cos6	-0.3752618	-0.000986	0.0285045	-0.054877
K1	Sin1	1.4611384	1.6000042	0.6870284	-0.1301243
K1	Sin2	0.2284218	-0.7198501	-0.3840291	0.0340882
K1	Sin3	0.4288793	-0.1125998	-0.2271862	0.2046926
K1	Sin4	0.2506734	0.3105266	0.0346479	-0.1601615
K1	Sin5	-0.2895276	-0.0826342	0.0748516	0.0745035
K1	Sin6	-0.1769982	0.1807557	0.0362094	-0.0670459
K2	Const	14.536892	22.098385	4.2861266	2.5432819
K2	Cos1	3.1305259	6.4013028	1.3105747	-0.7704928
K2	Cos2	-2.2871685	-1.5546237	-0.0704801	0.21647
K2	Cos3	1.0862771	0.1599054	-0.23817	0.0604332
K2	Cos4	0.1800945	0.0602462	0.0054845	-0.0363121
K2	Cos5	0.1225502	-0.2760174	-0.1155566	0.0435058
K2	Cos6	-0.1272493	0.3207505	0.1056014	-0.0323768
K2	Sin1	0.9704765	1.4036987	0.7597528	-0.3689676
K2	Sin2	-1.5718893	-0.3569569	0.0161295	0.0244136
K2	Sin3	0.414974	-0.1294209	-0.2204513	0.0575181
K2	Sin4	0.7983046	0.1732968	-0.137345	-0.0725929
K2	Sin5	-0.1199654	-0.0866559	0.040387	0.1156904
K2	Sin6	-0.0197113	-0.1329233	-0.1831675	-0.0874685
K3	Const	15.331818	25.003303	5.3349772	2.7809839
K3	Cos1	4.181073	4.5250853	1.0679711	-0.3268181
K3	Cos2	-3.2206392	-0.8886874	0.3065835	-0.034328
K3	Cos3	0.6871455	0.3283599	-0.1866135	0.0969452
K3	Cos4	0.0282788	-0.1830582	-0.0734927	-0.049436
K3	Cos5	0.0993148	0.1314636	0.1240323	0.1423388
K3	Cos6	0.3725189	-0.1355825	-0.3131202	0.0096009
K3	Sin1	1.4101789	-0.1568086	0.1102321	-0.155098
K3	Sin2	-2.6020856	1.6360826	1.155914	-0.1344462
K3	Sin3	0.4061787	-1.2011198	-0.6349193	0.163512
K3	Sin4	0.2637291	0.6574644	0.4102871	-0.1738405
K3	Sin5	-0.0483039	-0.4113837	-0.2488912	0.134318
K3	Sin6	-0.1032221	0.1704081	0.1341458	-0.0425656
K4	Const	12.711536	29.569787	8.9235846	3.1418689
K4	Cos1	4.9489144	2.0663746	-0.3959043	-0.1798111
K4	Cos2	-1.0776907	-0.8581226	0.2240828	0.3055958
K4	Cos3	-0.0211482	0.5545988	0.0910289	-0.213425
K4	Cos4	0.5794038	-0.4939224	-0.7516799	0.2001867
K4	Cos5	-0.1073198	0.1338599	0.4166312	-0.159572
K4	Cos6	0.8659962	-0.3565078	-0.6280915	0.1716463
K4	Sin1	0.8146984	-0.9584897	-0.549	-0.0065597
K4	Sin2	-1.7790744	1.3059783	1.735949	-0.1868292
K4	Sin3	-0.4836395	-0.3825059	0.1860379	0.0732792
K4	Sin4	1.2052806	-0.0530653	-0.6072967	0.2371617
K4	Sin5	-0.2396832	-0.2381297	-0.1249757	-0.2952748
K4	Sin6	0.052664	0.326697	0.1939607	0.156797
K5	Const	11.079053	34.861338	14.02909	3.4220465
K5	Cos1	4.1699214	0.5744557	-1.3842857	0.4028692
K5	Cos2	-0.9658989	-0.1541219	1.1574677	-0.2531135
K5	Cos3	0.0279207	0.0996518	-0.0873445	0.0106004
K5	Cos4	-0.4720379	0.3018352	-0.0615509	-0.0742099
K5	Cos5	-1.5195664	0.5499986	1.6123139	-0.3866223
K5	Cos6	-0.3379223	0.1188457	-0.1510271	0.0490352
K5	Sin1	0.1850361	-0.9399275	-0.9182647	0.0524233
K5	Sin2	0.990798	0.7029813	2.3111699	0.0841725
K5	Sin3	1.8820018	-1.8050634	-3.7862923	0.5047521
K5	Sin4	-0.2299877	0.9825936	1.4829554	-0.1756267
K5	Sin5	0.1177325	-0.1316252	-0.5813177	0.0187723
K5	Sin6	0.4769764	-0.2683708	-0.5264568	0.1440127
